TREM1	TREM
TREM2	TREM
TREM3	TREM
TREM4	TREM
TREM5	TREM
TREM6	TREM
TREM7	TREM
TREM8	TREM
TREM9	TREM
TREM10	TREM
TREM11	TREM
CH1	CH
CH2	CH
CH3	CH
CH4	CH
CH5	CH
CH6	CH
CH7	CH
CH8	CH
CH9	CH
CH10	CH
PR_16	PR
PR_18	PR
PR_22	PR
PR_35	PR
PR_43	PR
PR_47	PR
PR_48	PR
PR_57	PR
PR_58	PR
PR_60	PR
PR_62	PR
PR_64	PR
PR_70	PR
PR_73	PR
PR_84	PR
PR_8	PR
GULF_6	GULF
GULF_66	GULF
GULF_76	GULF
GULF_8	GULF
GULF_87	GULF
GULF_89	GULF
GULF_90	GULF
GULF_16	GULF
GULF_94	GULF
GULF_100	GULF
GULF_14	GULF
GULF_58	GULF
GULF_3	GULF
GULF_34	GULF
GULF_21	GULF
GULF_2	GULF
GULF_43	GULF
GULF_45	GULF
GULF_5	GULF
L31_106	L31
L31_11	L31
L31_17	L31
L31_23	L31
L31_3	L31
L31_38	L31
L31_39	L31
L31_52	L31
L31_58	L31
L31_59	L31
L31_74	L31
L31_75	L31
L31_76	L31
L31_79	L31
L31_80	L31
L31_90	L31
L31_93	L31
L46_100	L46
L46_33	L46
L46_36	L46
L46_39	L46
L46_47	L46
L46_5	L46
L46_53	L46
L46_54	L46
L46_55	L46
L46_59	L46
L46_68	L46
L46_73	L46
L46_96	L46
L46_11	L46
L46_13	L46
L46_16	L46
L60_101	L60
L60_15	L60
L60_38	L60
L60_47	L60
L60_58	L60
L60_6	L60
L60_63	L60
L60_64	L60
L60_70	L60
L60_73	L60
L60_76	L60
L60_91	L60
L60_96	L60
L60_102	L60
L60_106	L60
L60_107	L60
SLB_108	SLB
SLB_12	SLB
SLB_14	SLB
SLB_60	SLB
SLB_79	SLB
SLB_86	SLB
SLB_92	SLB
SLB_46	SLB
SLB_49	SLB
SLB_55	SLB
